Spanish,English
el/la,she
de,of
que,that
y,and
en,in
un,a
ser,be
a,to
él,he
lo,it
no,No
su,his
haber,to have
con,with
por,by
para,for
mí,my
lo,it
tener,have
como,as
estar,be
me,I
más,further
este,this
le,you
hacer,do
se,HE
yo,I
o,either
pero,but
decir,say
poder,can
ir,go
ese,that
otro,other
si,Yeah
mi,my
ver,see
ya,already
porque,because
mucho,a lot
dar,give
muy,very
saber,know
sí,Yeah
año,year
ti,you
te,tea
también,also
qué,that
alguno,some
nos,us
tu,you
sin,without
mismo,same
eso,it's
cuando,when
querer,want
vez,time
hasta,until
la,the
sobre,about
entre,between
dos,two
día,day
grande,big
así,So
pasar,pass
cosa,stuff
desde,from
deber,duty
ella,she
pues,well
entonces,so
llegar,arrive
poco,bit
nuestro,our
bien,good
ni,neither
tiempo,time
ahora,now
primero,first
creer,believe
donde,where
vida,life
dejar,leave
nada,nothing
tanto,so much
parecer,seem
hablar,talk
poner,put
parte,part
eh,Hey
nuevo,new
sólo,only
siempre,always
hombre,man
bueno,Well
seguir,continue
quedar,meet
llevar,carry
encontrar,find
bueno,Well
tan,so
pensar,think
casa,home
cada,each
persona,person
país,country
algo,something
esto,this
volver,return
usted,you
salir,go out
después,after
mejor,better
menos,less
venir,come
forma,shape
mujer,women
momento,moment
llamar,call
mundo,world
claro,clear
mirar,look
medios,media
mientras,while
conocer,know
aquel,that
aquí,here
aunque,although
quien,who
tomar,take
tres,three
mano,hand
sentir,feel
gente,people
cuándo,when
durante,during
hijo,son
tratar,treat
vivir,live
sino,but
lugar,place
problema,problem
hacia,toward
presidente,president
cual,which
junto,together
luego,then
cómo,as
trabajo,job
caso,case
mayor,elderly
además,besides
acercar,zoom in
esperar,wait
nunca,never
cierto,TRUE
hora,hour
dónde,where
padre,father
gustar,like
noche,evening
nosotros,us
casi,almost
hoy,today
tipo,guy
ojo,eye
manera,manner
importante,important
contar,count
niño,child
trabajar,work
empezar,begin
verdad,TRUE
contra,against
ciudad,city
buscar,look for
ahí,there
solo,only
fin,end
propio,own
tú,you
gobierno,government
historia,history
ejemplo,example
último,last
punto,spot
antes,before
mil,thousand
palabra,word
obra,construction site
existir,exist
perder,lose
cuenta,account
allí,over there
escribir,write
cualquiera,any
grupo,cluster
señor,Sir
pequeño,little
embargo,embargo
agua,water
realizar,carry out
nadie,nobody
entrar,get in
arte,art
leer,read
amigo,friend
recordar,remember
morir,die
único,only
lado,side
nombre,name
recibir,receive
pedir,ask
permitir,allow
preguntar,ask
social,social
sistema,system
tal,such
segundo,second
ante,in view of
viejo,old
madre,mother
siglo,century
nacional,national
entender,understand
libro,book
alto,high
cuerpo,body
familia,family
comenzar,begin
presentar,introduce
bajo,low
según,according to
frente,forehead
crear,create
tema,issue
cuatro,four
ah,ah
humano,human
pueblo,town
producir,produce
abrir,open
idea,idea
millón,million
sentar,sit
aún,still
caer,fall
voz,voice
terminar,finish
oír,hear
cambiar,change
ninguno,none
considerar,consider
político,political
tierra,land
realidad,reality
convertir,convert
español,Spanish
igual,equal
todavía,still
cabeza,head
derecho,right
mantener,keep
utilizar,use
calle,street
través,through
estado,state
relación,relationship
sacar,take out
puerta,door
gracias,thank you
necesitar,need
resultar,result
luz,light
paso,passed
general,general
escuchar,hear
guerra,war
amor,love
cinco,five
situación,situation
conseguir,get
lograr,achieve
mes,month
quién,who
fuerza,force
ocurrir,occur
aparecer,appear
diferente,different
muerte,death
ganar,gain
estudio,study
nivel,level
proceso,process
fuera,out
largo,long
semana,week
partido,game
acabar,finish
explicar,explain
cuyo,whose
razón,reason
negro,black
bastante,quite
efecto,effect
servicio,service
formar,to form
económico,economic
servir,serve
allá,there
empresa,company
centro,center
usar,wear
tras,after
cambio,change
clase,class
distinto,distinct
animal,animal
hecho,made
número,number
dicho,saying
información,information
tocar,tap
ayudar,help
público,public
mostrar,show
mas,further
estudiar,study
hermano,brother
ley,law
sentido,sense
incluso,even
cara,expensive
principio,principle
programa,program
música,music
traer,bring
campo,field
correr,run
actividad,activity
quizás,maybe
alguien,someone
comer,eat
acuerdo,agreement
demás,the rest
siguiente,following
ofrecer,offer
poder,can
sociedad,society
levantar,get up
dios,God
jugar,play
época,epoch
color,color
zona,zone
malo,bad
comprar,buy
necesario,necessary
camino,path
dinero,money
pie,foot
final,final
tampoco,neither
decidir,decide
desarrollo,development
movimiento,motion
alcanzar,reach
blanco,white
equipo,equipment
difícil,difficult
desarrollar,develop
pronto,soon
pagar,pay
principal,major
proyecto,project
valor,worth
meter,to put
realmente,really
sol,sun
imagen,image
cumplir,achieve
varios,several
universidad,university
interés,interest
mayoría,most
dirigir,lead
ello,it
tarde,late
papel,paper
producto,product
medio,half
continuar,continue
modo,mode
rico,rich
ojalá,I wish
reconocer,recognize
aire,air
mañana,tomorrow
dormir,sleep
acción,action
pesar,weigh
establecer,establish
seguro,sure
vista,view
juego,game
subir,increase
intentar,attempt
personal,staff
fondo,background
descubrir,discover
olvidar,forget
experiencia,experience
incluir,include
condición,condition
edad,age
andar,walk
orden,order
mal,evil
joven,young
escuela,school
uno,one
nacer,be born
posible,possible
aprender,learn
serie,series
dedicar,to dedicate
necesidad,need
suponer,suppose
aceptar,accept
comprender,grasp
fuerte,strong
especial,special
iglesia,church
seis,six
obtener,obtain
ciento,hundred
falta,lack
política,policy
especie,species
real,real
cuál,which
antiguo,ancient
gracia,funny
santo,holy
diez,ten
tercero,third
espacio,space
bajo,low
publicar,post
población,population
aspecto,aspect
muchacho,young guy
tarde,late
artículo,article
cantidad,amount
sueño,dream
posibilidad,possibility
echar,throw
internacional,international
responder,reply
boca,mouth
próximo,next
mover,move
menor,minor
cultura,culture
brazo,arm
uso,use
todo,all
libre,free
ser,be
corazón,heart
línea,line
sitio,place
minuto,minute
señalar,point
mar,sea
carrera,career
base,base
suceder,happen
bajar,lower
éste,this
apenas,barely
mercado,market
respuesta,answer
atención,attention
educación,education
miedo,fear
pobre,poor
anterior,former
demasiado,too much
evitar,avoid
río,river
comentario,comment
asegurar,ensure
actual,current
imaginar,imagine
profesor,teacher
resultado,result
detener,arrest
solamente,only
sufrir,suffer
importar,matter
pregunta,ask
ocupar,occupy
señora,lady
representar,represent
investigación,investigation
repetir,repeat
autor,author
caminar,walk
gastos,bills
favor,favor
vos,you
silencio,silence
viaje,journey
natural,natural
cerrar,close
resto,rest
comunidad,community
faltar,lack
mesa,table
indicar,indicate
función,function
vender,sell
supuesto,supposed
libertad,freedom
organización,organization
peso,weight
diferencia,difference
rojo,red
acordar,agree
ambos,both
elemento,element
seguridad,security
cuestión,question
miembro,member
duda,doubt
desear,want
película,movie
dato,fact
región,region
sector,sector
militar,military
dentro,inside
iniciar,Start
destacar,stand out
compañero,buddy
suelo,floor
referir,refer
paz,peace
sangre,blood
observar,notice
precio,price
verdadero,TRUE
soler,to usually do
crecer,grow
elegir,choose
francés,French
demostrar,demonstrate
oportunidad,chance
conocimiento,knowledge
producción,production
objeto,object
mirada,look
autoridad,authority
preparar,prepare
valer,to worth
mundial,world
regresar,go back
significar,mean
interesar,interest
matar,kill
área,area
opinión,opinion
compartir,share
cuánto,how much
capital,capital
cabo,cape
inglés,English
fácil,easy
partir,leave
lengua,language
curso,course
mandar,send
término,term
decisión,decision
dolor,pain
director,director
participar,participate
causa,cause
personaje,character
rostro,face
ocasión,chance
página,page
atrás,back
llenar,fill
esfuerzo,effort
maestro,teacher
siete,seven
enfermedad,disease
teatro,theater
acompañar,accompany
estilo,style
construir,build
cama,bed
enseñar,teach
cubrir,cover
siquiera,even
salud,health
oficial,official
presencia,presence
interesante,interesting
ayer,yesterday
central,central
comunicación,communication
cielo,darling
control,control
niña,little girl
mal,evil
norte,north
plan,plan
entregar,deliver
carta,letter
colegio,school
policía,police
llorar,cry
enorme,enormous
figura,figure
capacidad,ability
comentar,comment
orientar,guide
afirmar,say
calidad,quality
compañía,company
jamás,never
fuente,fountain
ocho,eight
tamaño,size
materia,subject
doctor,doctor
capaz,able
dirección,address
aumentar,increase
superior,superior
responsable,responsible
casar,marry
prueba,proof
mediante,through
cuarto,room
abierto,open
desaparecer,disappear
contrario,contrary
objetivo,aim
obligar,obligate
julio,July
importancia,importance
sur,south
asunto,affair
medida,extent
energía,energy
impuestos,taxes
apoyar,support
posición,position
quitar,remove
contestar,to answer
piel,fur
provocar,to provoke
alma,soul
acto,act
década,decade
mamá,breast
mío,mine
dólar,dollar
origen,origin
depender,depend
abandonar,abandon
fijar,pin up
profesional,professional
reír,laugh
lleno,full
tirar,throw
período,period
guardar,keep
negocio,business
material,material
arriba,above
gritar,shout
médico,doctor
domingo,Sunday
peor,worse
os,you
notar,notice
institución,institution
surgir,emerge
expresar,express
amar,love
vestir,dress
físico,physical
cubano,Cuban
enviar,send
modelo,model
parar,stall
rey,king
éxito,success
constituir,make up
cuanto,how much
generar,trigger
naturaleza,nature
preferir,prefer
cultural,cultural
conjunto,set
dedo,finger
cantar,sing
futuro,future
proponer,propose
título,qualification
europeo,European
adelante,forward
suerte,luck
pensamiento,thought
ventana,window
jefe,boss
chico,boy
banco,bank
ambiente,atmosphere
lanzar,launch
simplemente,simply
permanecer,stay
romper,break
local,local
novela,novel
extraño,strange
privado,private
ciencia,science
flor,flower
estructura,structure
duro,hard
común,common
pena,grief
red,grid
pieza,part
golpe,bang
economía,economy
árbol,tree
literatura,literature
defender,defend
cuidar,look after
informar,inform
texto,text
elección,choice
cortar,cut
fecha,date
especialmente,especially
profundo,deep
conocido,acquaintance
unir,bind
alemán,German
actuar,Act
salvar,save
aplicar,apply
extranjero,foreign
respecto,regard
entrada,entrance
planta,plant
hija,daughter
negar,deny
recuerdo,memory
avanzar,advance
consecuencia,consequence
piedra,stone
costar,Cost
pierna,leg
funcionar,function
pared,wall
motivo,reason
deseo,desire
suficiente,enough
ropa,clothes
abuela,grandmother
ayuda,aid
anunciar,announce
reunir,meet
disponer,provide
abajo,below
sostener,hold
popular,popular
precisamente,precisely
visitar,visit
construcción,construction
contener,contain
estudiante,student
fiesta,party
lucha,struggle
metro,meter
mañana,tomorrow
rato,a while
colocar,place
oscuro,dark
sombra,shade
expresión,expression
separar,pull apart
plaza,square
vivo,alive
vecino,neighbor
pretender,pretend
isla,island
azul,blue
verde,green
carácter,character
viento,wind
cruzar,cross
completo,complete
artista,artist
contacto,contact
veinte,twenty
invitar,invite
religioso,religious
cargo,post
nación,nation
ministro,Minister
televisión,television
determinado,certain
memoria,memory
recoger,collect
treinta,thirty
histórico,historical
extender,extend
espíritu,spirit
lejos,far
mitad,half
actitud,attitude
solución,solution
público,public
basar,base
totalmente,completely
total,total
sala,hall
acerca,about
par,pair
apoyo,support
territorio,territory
loco,crazy
mensaje,message
unidad,unit
mexicano,Mexican
práctica,practice
teoría,theory
preocupar,worry
cuento,tale
exigir,demand
mejorar,improve
serio,Serious
edificio,building
técnica,technique
noticia,news
carne,meat
moderno,modern
alumno,student
oro,gold
escritor,writer
papá,dad
teléfono,phone
resolver,solve
concepto,concept
interior,inside
rápido,fast
crisis,crisis
civil,civil
pelo,hair
formación,training
simple,simple
comercial,commercial
riesgo,risk
imponer,impose
fundamental,fundamental
amplio,broad
afectar,affect
foto,photo
reducir,reduce
fuego,fire
aprovechar,leverage
celebrar,celebrate
error,mistake
perro,dog
piso,floor
gusto,taste
bonito,pretty
medir,measure
pareja,couple
despertar,wake up
pesar,weigh
costa,coast
enfrentar,deal
corresponder,correspond
escapar,escape
causar,cause
grave,serious
viajar,travel
cámara,camera
vía,via
ejército,army
comida,meal
caballo,horse
feliz,happy
mayo,May
plata,silver
visita,visit
rodear,surround
adquirir,acquire
consejo,advice
responsabilidad,responsibility
hoja,sheet
encuentro,meeting
arma,weapon
alejar,Ward off
revista,magazine
pertenecer,belong
debido,due
agregar,add
trabajador,worker
generación,generation
ciudadano,citizen
propiedad,property
gesto,gesture
blog,Blog
departamento,department
agosto,August
pasado,past
radio,radio
emplear,use
máximo,maximum
sorprender,to surprise
detalle,detail
puro,pure
disfrutar,enjoy
barrio,neighborhood
sentimiento,feeling
espalda,back
fe,faith
distancia,distance
calor,heat
conciencia,awareness
reunión,meeting
finalmente,finally
sonar,dream
defensa,defending
justicia,justice
cine,cinema
existencia,existence
grado,degree
ganas,desire
plantear,pose
madera,wood
menudo,slight
probar,prove
destino,destination
café,coffee
contenido,content
cincuenta,fifty
pintura,paint
marido,husband
diario,diary
recorrer,travel
hallar,find
poseer,possess
altura,height
pecho,chest
costumbre,habit
recién,newly
estrella,star
mente,mind
declarar,to declare
letra,letter
sonreír,smile
creación,creation
hermoso,beautiful
advertir,warn
canción,song
método,method
república,republic
reforma,reform
lluvia,rain
esperanza,hope
tío,uncle
conversación,conversation
influencia,influence
nueve,nine
instante,instant
marcar,tick
controlar,check
tarea,task
documento,document
famoso,famous
conducir,drive
prensa,press
normal,normal