,Spanish,English
0,el/la,she
1,de,of
2,que,that
3,y,and
4,en,in
5,un,a
6,ser,be
7,a,to
8,él,he
9,lo,it
10,no,No
11,su,his
12,haber,to have
13,con,with
14,por,by
15,para,for
16,mí,my
17,lo,it
18,tener,have
19,como,as
20,estar,be
21,me,I
22,más,further
23,este,this
24,le,you
25,hacer,do
26,se,HE
27,yo,I
28,o,either
29,pero,but
30,decir,say
31,poder,can
32,ir,go
33,ese,that
34,otro,other
35,si,Yeah
36,mi,my
37,ver,see
38,ya,already
39,porque,because
40,mucho,a lot
41,dar,give
42,muy,very
43,saber,know
44,sí,Yeah
45,año,year
46,ti,you
47,te,tea
48,también,also
49,qué,that
50,alguno,some
51,nos,us
52,tu,you
53,sin,without
54,mismo,same
55,eso,it's
56,cuando,when
57,querer,want
58,vez,time
59,hasta,until
60,la,the
61,sobre,about
62,entre,between
63,dos,two
64,día,day
65,grande,big
66,así,So
67,pasar,pass
68,cosa,stuff
69,desde,from
70,deber,duty
71,ella,she
72,pues,well
73,entonces,so
74,llegar,arrive
75,poco,bit
76,nuestro,our
77,bien,good
78,ni,neither
79,tiempo,time
80,ahora,now
81,primero,first
82,creer,believe
83,donde,where
84,vida,life
85,dejar,leave
86,nada,nothing
87,tanto,so much
88,parecer,seem
89,hablar,talk
90,poner,put
91,parte,part
92,eh,Hey
93,nuevo,new
94,sólo,only
95,siempre,always
96,hombre,man
97,bueno,Well
98,seguir,continue
99,quedar,meet
100,llevar,carry
101,encontrar,find
102,bueno,Well
103,tan,so
104,pensar,think
105,casa,home
106,cada,each
107,persona,person
108,país,country
109,algo,something
110,esto,this
111,volver,return
112,usted,you
113,salir,go out
114,después,after
115,mejor,better
116,menos,less
117,venir,come
118,forma,shape
119,mujer,women
120,momento,moment
121,llamar,call
122,mundo,world
123,claro,clear
124,mirar,look
125,medios,media
126,mientras,while
127,conocer,know
128,aquel,that
129,aquí,here
130,aunque,although
131,quien,who
132,tomar,take
133,tres,three
134,mano,hand
135,sentir,feel
136,gente,people
137,cuándo,when
138,durante,during
139,hijo,son
140,tratar,treat
141,vivir,live
142,sino,but
143,lugar,place
144,problema,problem
145,hacia,toward
146,presidente,president
147,cual,which
148,junto,together
149,luego,then
150,cómo,as
151,trabajo,job
152,caso,case
153,mayor,elderly
154,además,besides
155,acercar,zoom in
156,esperar,wait
157,nunca,never
158,cierto,TRUE
159,hora,hour
160,dónde,where
161,padre,father
162,gustar,like
163,noche,evening
164,nosotros,us
165,casi,almost
166,hoy,today
167,tipo,guy
168,ojo,eye
169,manera,manner
170,importante,important
171,contar,count
172,niño,child
173,trabajar,work
174,empezar,begin
175,verdad,TRUE
176,contra,against
177,ciudad,city
178,buscar,look for
179,ahí,there
180,solo,only
181,fin,end
182,propio,own
183,tú,you
184,gobierno,government
185,historia,history
186,ejemplo,example
187,último,last
188,punto,spot
189,antes,before
190,mil,thousand
191,palabra,word
192,obra,construction site
193,existir,exist
194,perder,lose
195,cuenta,account
196,allí,over there
197,escribir,write
198,cualquiera,any
199,grupo,cluster
200,señor,Sir
201,pequeño,little
202,embargo,embargo
203,agua,water
204,realizar,carry out
205,nadie,nobody
206,entrar,get in
207,arte,art
208,leer,read
209,amigo,friend
210,recordar,remember
211,morir,die
212,único,only
213,lado,side
214,nombre,name
215,recibir,receive
216,pedir,ask
217,permitir,allow
218,preguntar,ask
219,social,social
220,sistema,system
221,tal,such
222,segundo,second
223,ante,in view of
224,viejo,old
225,madre,mother
226,siglo,century
227,nacional,national
228,entender,understand
229,libro,book
230,alto,high
231,cuerpo,body
232,familia,family
233,comenzar,begin
234,presentar,introduce
235,bajo,low
236,según,according to
237,frente,forehead
238,crear,create
239,tema,issue
240,cuatro,four
241,ah,ah
242,humano,human
243,pueblo,town
244,producir,produce
245,abrir,open
246,idea,idea
247,millón,million
248,sentar,sit
249,aún,still
250,caer,fall
251,voz,voice
252,terminar,finish
253,oír,hear
254,cambiar,change
255,ninguno,none
256,considerar,consider
257,político,political
258,tierra,land
259,realidad,reality
260,convertir,convert
261,español,Spanish
262,igual,equal
263,todavía,still
264,cabeza,head
265,derecho,right
266,mantener,keep
267,utilizar,use
268,calle,street
269,través,through
270,estado,state
271,relación,relationship
272,sacar,take out
273,puerta,door
274,gracias,thank you
275,necesitar,need
276,resultar,result
277,luz,light
278,paso,passed
279,general,general
280,escuchar,hear
281,guerra,war
282,amor,love
283,cinco,five
284,situación,situation
285,conseguir,get
286,lograr,achieve
287,mes,month
288,quién,who
289,fuerza,force
290,ocurrir,occur
291,aparecer,appear
292,diferente,different
293,muerte,death
294,ganar,gain
295,estudio,study
296,nivel,level
297,proceso,process
298,fuera,out
299,largo,long
300,semana,week
301,partido,game
302,acabar,finish
303,explicar,explain
304,cuyo,whose
305,razón,reason
306,negro,black
307,bastante,quite
308,efecto,effect
309,servicio,service
310,formar,to form
311,económico,economic
312,servir,serve
313,allá,there
314,empresa,company
315,centro,center
316,usar,wear
317,tras,after
318,cambio,change
319,clase,class
320,distinto,distinct
321,animal,animal
322,hecho,made
323,número,number
324,dicho,saying
325,información,information
326,tocar,tap
327,ayudar,help
328,público,public
329,mostrar,show
330,mas,further
331,estudiar,study
332,hermano,brother
333,ley,law
334,sentido,sense
335,incluso,even
336,cara,expensive
337,principio,principle
338,programa,program
339,música,music
340,traer,bring
341,campo,field
342,correr,run
343,actividad,activity
344,quizás,maybe
345,alguien,someone
346,comer,eat
347,acuerdo,agreement
348,demás,the rest
349,siguiente,following
350,ofrecer,offer
351,poder,can
352,sociedad,society
353,levantar,get up
354,dios,God
355,jugar,play
356,época,epoch
357,color,color
358,zona,zone
359,malo,bad
360,comprar,buy
361,necesario,necessary
362,camino,path
363,dinero,money
364,pie,foot
365,final,final
366,tampoco,neither
367,decidir,decide
368,desarrollo,development
369,movimiento,motion
370,alcanzar,reach
371,blanco,white
372,equipo,equipment
373,difícil,difficult
374,desarrollar,develop
375,pronto,soon
376,pagar,pay
377,principal,major
378,proyecto,project
379,valor,worth
380,meter,to put
381,realmente,really
382,sol,sun
383,imagen,image
384,cumplir,achieve
385,varios,several
386,universidad,university
387,interés,interest
388,mayoría,most
389,dirigir,lead
390,ello,it
391,tarde,late
392,papel,paper
393,producto,product
394,medio,half
395,continuar,continue
396,modo,mode
397,rico,rich
398,ojalá,I wish
399,reconocer,recognize
400,aire,air
401,mañana,tomorrow
402,dormir,sleep
403,acción,action
404,pesar,weigh
405,establecer,establish
406,seguro,sure
407,vista,view
408,juego,game
409,subir,increase
410,intentar,attempt
411,personal,staff
412,fondo,background
413,descubrir,discover
414,olvidar,forget
415,experiencia,experience
416,incluir,include
417,condición,condition
418,edad,age
419,andar,walk
420,orden,order
421,mal,evil
422,joven,young
423,escuela,school
424,uno,one
425,nacer,be born
426,posible,possible
427,aprender,learn
428,serie,series
429,dedicar,to dedicate
430,necesidad,need
431,suponer,suppose
432,aceptar,accept
433,comprender,grasp
434,fuerte,strong
435,especial,special
436,iglesia,church
437,seis,six
438,obtener,obtain
439,ciento,hundred
440,falta,lack
441,política,policy
442,especie,species
443,real,real
444,cuál,which
445,antiguo,ancient
446,gracia,funny
447,santo,holy
448,diez,ten
449,tercero,third
450,espacio,space
451,bajo,low
452,publicar,post
453,población,population
454,aspecto,aspect
455,muchacho,young guy
456,tarde,late
457,artículo,article
458,cantidad,amount
459,sueño,dream
460,posibilidad,possibility
461,echar,throw
462,internacional,international
463,responder,reply
464,boca,mouth
465,próximo,next
466,mover,move
467,menor,minor
468,cultura,culture
469,brazo,arm
470,uso,use
471,todo,all
472,libre,free
473,ser,be
474,corazón,heart
475,línea,line
476,sitio,place
477,minuto,minute
478,señalar,point
479,mar,sea
480,carrera,career
481,base,base
482,suceder,happen
483,bajar,lower
484,éste,this
485,apenas,barely
486,mercado,market
487,respuesta,answer
488,atención,attention
489,educación,education
490,miedo,fear
491,pobre,poor
492,anterior,former
493,demasiado,too much
494,evitar,avoid
495,río,river
496,comentario,comment
497,asegurar,ensure
498,actual,current
499,imaginar,imagine
500,profesor,teacher
501,resultado,result
502,detener,arrest
503,solamente,only
504,sufrir,suffer
505,importar,matter
506,pregunta,ask
507,ocupar,occupy
508,señora,lady
509,representar,represent
510,investigación,investigation
511,repetir,repeat
512,autor,author
513,caminar,walk
514,gastos,bills
515,favor,favor
516,vos,you
517,silencio,silence
518,viaje,journey
519,natural,natural
520,cerrar,close
521,resto,rest
522,comunidad,community
523,faltar,lack
524,mesa,table
525,indicar,indicate
526,función,function
527,vender,sell
528,supuesto,supposed
529,libertad,freedom
530,organización,organization
531,peso,weight
532,diferencia,difference
533,rojo,red
534,acordar,agree
535,ambos,both
536,elemento,element
537,seguridad,security
538,cuestión,question
539,miembro,member
540,duda,doubt
541,desear,want
542,película,movie
543,dato,fact
544,región,region
545,sector,sector
546,militar,military
547,dentro,inside
548,iniciar,Start
549,destacar,stand out
550,compañero,buddy
551,suelo,floor
552,referir,refer
553,paz,peace
554,sangre,blood
555,observar,notice
556,precio,price
557,verdadero,TRUE
558,soler,to usually do
559,crecer,grow
560,elegir,choose
561,francés,French
562,demostrar,demonstrate
563,oportunidad,chance
564,conocimiento,knowledge
565,producción,production
566,objeto,object
567,mirada,look
568,autoridad,authority
569,preparar,prepare
570,valer,to worth
571,mundial,world
572,regresar,go back
573,significar,mean
574,interesar,interest
575,matar,kill
576,área,area
577,opinión,opinion
578,compartir,share
579,cuánto,how much
580,capital,capital
581,cabo,cape
582,inglés,English
583,fácil,easy
584,partir,leave
585,lengua,language
586,curso,course
587,mandar,send
588,término,term
589,decisión,decision
590,dolor,pain
591,director,director
592,participar,participate
593,causa,cause
594,personaje,character
595,rostro,face
596,ocasión,chance
597,página,page
598,atrás,back
599,llenar,fill
600,esfuerzo,effort
601,maestro,teacher
602,siete,seven
603,enfermedad,disease
604,teatro,theater
605,acompañar,accompany
606,estilo,style
607,construir,build
608,cama,bed
609,enseñar,teach
610,cubrir,cover
611,siquiera,even
612,salud,health
613,oficial,official
614,presencia,presence
615,interesante,interesting
616,ayer,yesterday
617,central,central
618,comunicación,communication
619,cielo,darling
620,control,control
621,niña,little girl
622,mal,evil
623,norte,north
624,plan,plan
625,entregar,deliver
626,carta,letter
627,colegio,school
628,policía,police
629,llorar,cry
630,enorme,enormous
631,figura,figure
632,capacidad,ability
633,comentar,comment
634,orientar,guide
635,afirmar,say
636,calidad,quality
637,compañía,company
638,jamás,never
639,fuente,fountain
640,ocho,eight
641,tamaño,size
642,materia,subject
643,doctor,doctor
644,capaz,able
645,dirección,address
646,aumentar,increase
647,superior,superior
648,responsable,responsible
649,casar,marry
650,prueba,proof
651,mediante,through
652,cuarto,room
653,abierto,open
654,desaparecer,disappear
655,contrario,contrary
656,objetivo,aim
657,obligar,obligate
658,julio,July
659,importancia,importance
660,sur,south
661,asunto,affair
662,medida,extent
663,energía,energy
664,impuestos,taxes
665,apoyar,support
666,posición,position
667,quitar,remove
668,contestar,to answer
669,piel,fur
670,provocar,to provoke
671,alma,soul
672,acto,act
673,década,decade
674,mamá,breast
675,mío,mine
676,dólar,dollar
677,origen,origin
678,depender,depend
679,abandonar,abandon
680,fijar,pin up
681,profesional,professional
682,reír,laugh
683,lleno,full
684,tirar,throw
685,período,period
686,guardar,keep
687,negocio,business
688,material,material
689,arriba,above
690,gritar,shout
691,médico,doctor
692,domingo,Sunday
693,peor,worse
694,os,you
695,notar,notice
696,institución,institution
697,surgir,emerge
698,expresar,express
699,amar,love
700,vestir,dress
701,físico,physical
702,cubano,Cuban
703,enviar,send
704,modelo,model
705,parar,stall
706,rey,king
707,éxito,success
708,constituir,make up
709,cuanto,how much
710,generar,trigger
711,naturaleza,nature
712,preferir,prefer
713,cultural,cultural
714,conjunto,set
715,dedo,finger
716,cantar,sing
717,futuro,future
718,proponer,propose
719,título,qualification
720,europeo,European
721,adelante,forward
722,suerte,luck
723,pensamiento,thought
724,ventana,window
725,jefe,boss
726,chico,boy
727,banco,bank
728,ambiente,atmosphere
729,lanzar,launch
730,simplemente,simply
731,permanecer,stay
732,romper,break
733,local,local
734,novela,novel
735,extraño,strange
736,privado,private
737,ciencia,science
738,flor,flower
739,estructura,structure
740,duro,hard
741,común,common
742,pena,grief
743,red,grid
744,pieza,part
745,golpe,bang
746,economía,economy
747,árbol,tree
748,literatura,literature
749,defender,defend
750,cuidar,look after
751,informar,inform
752,texto,text
753,elección,choice
754,cortar,cut
755,fecha,date
756,especialmente,especially
757,profundo,deep
758,conocido,acquaintance
759,unir,bind
760,alemán,German
761,actuar,Act
762,salvar,save
763,aplicar,apply
764,extranjero,foreign
765,respecto,regard
766,entrada,entrance
767,planta,plant
768,hija,daughter
769,negar,deny
770,recuerdo,memory
771,avanzar,advance
772,consecuencia,consequence
773,piedra,stone
774,costar,Cost
775,pierna,leg
776,funcionar,function
777,pared,wall
778,motivo,reason
779,deseo,desire
780,suficiente,enough
781,ropa,clothes
782,abuela,grandmother
783,ayuda,aid
784,anunciar,announce
785,reunir,meet
786,disponer,provide
787,abajo,below
788,sostener,hold
789,popular,popular
790,precisamente,precisely
791,visitar,visit
792,construcción,construction
793,contener,contain
794,estudiante,student
795,fiesta,party
796,lucha,struggle
797,metro,meter
798,mañana,tomorrow
799,rato,a while
800,colocar,place
801,oscuro,dark
802,sombra,shade
803,expresión,expression
804,separar,pull apart
805,plaza,square
806,vivo,alive
807,vecino,neighbor
808,pretender,pretend
809,isla,island
810,azul,blue
811,verde,green
812,carácter,character
813,viento,wind
814,cruzar,cross
815,completo,complete
816,artista,artist
817,contacto,contact
818,veinte,twenty
819,invitar,invite
820,religioso,religious
821,cargo,post
822,nación,nation
823,ministro,Minister
824,televisión,television
825,determinado,certain
826,memoria,memory
827,recoger,collect
828,treinta,thirty
829,histórico,historical
830,extender,extend
831,espíritu,spirit
832,lejos,far
833,mitad,half
834,actitud,attitude
835,solución,solution
836,público,public
837,basar,base
838,totalmente,completely
839,total,total
840,sala,hall
841,acerca,about
842,par,pair
843,apoyo,support
844,territorio,territory
845,loco,crazy
846,mensaje,message
847,unidad,unit
848,mexicano,Mexican
849,práctica,practice
850,teoría,theory
851,preocupar,worry
852,cuento,tale
853,exigir,demand
854,mejorar,improve
855,serio,Serious
856,edificio,building
857,técnica,technique
858,noticia,news
859,carne,meat
860,moderno,modern
861,alumno,student
862,oro,gold
863,escritor,writer
864,papá,dad
865,teléfono,phone
866,resolver,solve
867,concepto,concept
868,interior,inside
869,rápido,fast
870,crisis,crisis
871,civil,civil
872,pelo,hair
873,formación,training
874,simple,simple
875,comercial,commercial
876,riesgo,risk
877,imponer,impose
878,fundamental,fundamental
879,amplio,broad
880,afectar,affect
881,foto,photo
882,reducir,reduce
883,fuego,fire
884,aprovechar,leverage
885,celebrar,celebrate
886,error,mistake
887,perro,dog
888,piso,floor
889,gusto,taste
890,bonito,pretty
891,medir,measure
892,pareja,couple
893,despertar,wake up
894,pesar,weigh
895,costa,coast
896,enfrentar,deal
897,corresponder,correspond
898,escapar,escape
899,causar,cause
900,grave,serious
901,viajar,travel
902,cámara,camera
903,vía,via
904,ejército,army
905,comida,meal
906,caballo,horse
907,feliz,happy
908,mayo,May
909,plata,silver
910,visita,visit
911,rodear,surround
912,adquirir,acquire
913,consejo,advice
914,responsabilidad,responsibility
915,hoja,sheet
916,encuentro,meeting
917,arma,weapon
918,alejar,Ward off
919,revista,magazine
920,pertenecer,belong
921,debido,due
922,agregar,add
923,trabajador,worker
924,generación,generation
925,ciudadano,citizen
926,propiedad,property
927,gesto,gesture
928,blog,Blog
929,departamento,department
930,agosto,August
931,pasado,past
932,radio,radio
933,emplear,use
934,máximo,maximum
935,sorprender,to surprise
936,detalle,detail
937,puro,pure
938,disfrutar,enjoy
939,barrio,neighborhood
940,sentimiento,feeling
941,espalda,back
942,fe,faith
943,distancia,distance
944,calor,heat
945,conciencia,awareness
946,reunión,meeting
947,finalmente,finally
948,sonar,dream
949,defensa,defending
950,justicia,justice
951,cine,cinema
952,existencia,existence
953,grado,degree
954,ganas,desire
955,plantear,pose
956,madera,wood
957,menudo,slight
958,probar,prove
959,destino,destination
960,café,coffee
961,contenido,content
962,cincuenta,fifty
963,pintura,paint
964,marido,husband
965,diario,diary
966,recorrer,travel
967,hallar,find
968,poseer,possess
969,altura,height
970,pecho,chest
971,costumbre,habit
972,recién,newly
973,estrella,star
974,mente,mind
975,declarar,to declare
976,letra,letter
977,sonreír,smile
978,creación,creation
979,hermoso,beautiful
980,advertir,warn
981,canción,song
982,método,method
983,república,republic
984,reforma,reform
985,lluvia,rain
986,esperanza,hope
987,tío,uncle
988,conversación,conversation
989,influencia,influence
990,nueve,nine
991,instante,instant
992,marcar,tick
993,controlar,check
994,tarea,task
995,documento,document
996,famoso,famous
997,conducir,drive
998,prensa,press
999,normal,normal
